pincode,centroid_lat,centroid_lon,area_sqkm
110001,28.623105,77.218474,18.7403
110002,28.640397,77.245937,15.1597
110003,28.592655,77.22925,17.2941
110004,28.6144,77.199028,1.658
110005,28.654566,77.184779,8.6053
110006,28.657977,77.225955,9.1323
110007,28.678416,77.200611,14.5253
110008,28.650881,77.16462,5.027
110009,28.71154,77.197643,17.1888
110010,28.590714,77.130171,39.5397
110011,28.603596,77.209165,6.0347
110012,28.625633,77.160787,15.6543
110013,28.590549,77.259157,5.2006
110014,28.580834,77.262538,5.3261
110015,28.655267,77.141877,10.3814
110016,28.548861,77.196268,7.7218
110017,28.530484,77.216054,10.4081
110018,28.64255,77.0863,14.5059
110019,28.535511,77.258278,10.9731
110020,28.537446,77.276945,8.4406
110021,28.597039,77.179571,18.5448
110022,28.565107,77.175944,4.8867
110023,28.575461,77.19831,6.4823
110024,28.569194,77.238293,4.885
110025,28.557684,77.291896,17.0296
110026,28.668258,77.132542,4.6416
110027,28.647264,77.116693,7.9121
110028,28.630675,77.139148,4.7951
110029,28.563959,77.200719,3.0663
110030,28.506361,77.176869,24.8013
110031,28.656463,77.26902,8.1844
110032,28.676929,77.288375,11.8041
110033,28.72664,77.169685,7.0824
110034,28.691506,77.128901,10.9882
110035,28.677936,77.158882,6.4762
110036,28.816537,77.168799,91.2537
110037,28.55024,77.099931,40.862
110038,28.515849,77.113365,14.9499
110039,28.808344,77.012126,75.7935
110040,28.840871,77.091407,61.8399
110041,28.669422,77.026513,54.1697
110042,28.751633,77.136565,40.6468
110043,28.595228,76.970212,117.4234
110044,28.50455,77.300469,27.0568
110045,28.59944,77.08449,8.7389
110046,28.60462,77.101543,2.4445
110047,28.457247,77.142574,27.8981
110048,28.545526,77.238214,5.6745
110049,28.556077,77.220496,7.3333
110050,28.567058,77.19757,0.235
110051,28.652964,77.284708,4.6199
110052,28.687998,77.174042,10.0216
110053,28.684462,77.262256,12.6419
110054,28.689332,77.222963,10.785
110055,28.645109,77.212835,3.6557
110056,28.68131,77.120821,4.1288
110057,28.561752,77.15616,7.007
110058,28.621652,77.090342,8.8741
110059,28.625792,77.049008,23.3032
110060,28.636048,77.183648,4.0109
110061,28.534506,77.043254,20.5056
110062,28.513288,77.237503,12.841
110063,28.670637,77.105307,8.0103
110064,28.625058,77.11538,6.3258
110065,28.566892,77.260047,8.2182
110066,28.566613,77.183853,0.8375
110067,28.542332,77.167983,6.7092
110068,28.489773,77.217953,14.7745
110069,28.608223,77.226201,0.247
110070,28.516126,77.148644,30.3401
110071,28.551023,76.998252,47.6033
110072,28.659318,76.953724,18.5421
110073,28.561559,76.899743,106.2298
110074,28.445386,77.203968,88.6586
110075,28.583124,77.046421,26.2771
110076,28.527216,77.310201,19.443
110077,28.558817,77.060549,12.6212
110078,28.608069,77.031195,8.0145
110080,28.492825,77.244687,11.7063
