pincode,n_offices,has_boundary,status
110050,0,1,retired
110098,0,1,retired
110100,0,1,retired
121014,0,1,retired
121015,0,1,retired
122022,0,1,retired
123031,0,1,retired
127311,0,1,retired
127312,0,1,retired
131030,0,1,retired
133010,0,1,retired
134008,0,1,retired
134105,0,1,retired
140408,0,1,retired
143003,0,1,retired
143004,0,1,retired
143110,0,1,retired
144013,0,1,retired
144015,0,1,retired
152020,0,1,retired
160005,0,1,retired
160016,0,1,retired
160040,0,1,retired
160043,0,1,retired
160069,0,1,retired
171014,0,1,retired
171015,0,1,retired
173236,0,1,retired
175045,0,1,retired
176002,0,1,retired
176326,0,1,retired
184210,0,1,retired
185133,0,1,retired
193505,0,1,retired
201020,0,1,retired
201308,0,1,retired
201315,0,1,retired
209860,0,1,retired
211021,0,1,retired
211022,0,1,retired
212308,0,1,retired
221012,0,1,retired
221109,0,1,retired
221720,0,1,retired
244105,0,1,retired
246178,0,1,retired
248016,0,1,retired
248141,0,1,retired
249127,0,1,retired
249136,0,1,retired
262572,0,1,retired
263141,0,1,retired
263142,0,1,retired
271806,0,1,retired
272170,23,0,active
272178,0,1,retired
301029,0,1,retired
302011,0,1,retired
302023,0,1,retired
302024,0,1,retired
302025,0,1,retired
302032,0,1,retired
302038,0,1,retired
302041,0,1,retired
302042,0,1,retired
302043,0,1,retired
302051,0,1,retired
302052,0,1,retired
303010,0,1,retired
303123,0,1,retired
303331,0,1,retired
303339,0,1,retired
303802,0,1,retired
304020,0,1,retired
304026,0,1,retired
305008,0,1,retired
305027,0,1,retired
305028,0,1,retired
305029,0,1,retired
305030,0,1,retired
306027,0,1,retired
306106,0,1,retired
307021,0,1,retired
307032,0,1,retired
311012,0,1,retired
311013,0,1,retired
311028,0,1,retired
311029,0,1,retired
311303,0,1,retired
311405,0,1,retired
311606,0,1,retired
311607,0,1,retired
311810,0,1,retired
312026,0,1,retired
312618,0,1,retired
312621,0,1,retired
312624,0,1,retired
312625,0,1,retired
312626,0,1,retired
312627,0,1,retired
313025,0,1,retired
313338,0,1,retired
313605,16,0,active
313611,11,0,active
321006,0,1,retired
321305,0,1,retired
321603,0,1,retired
323026,0,1,retired
324021,0,1,retired
325224,0,1,retired
325225,0,1,retired
326024,0,1,retired
326510,0,1,retired
331033,0,1,retired
333037,0,1,retired
333310,0,1,retired
342002,0,1,retired
342004,0,1,retired
342010,0,1,retired
342029,0,1,retired
342034,0,1,retired
345002,0,1,retired
363635,0,1,retired
380003,0,1,retired
380049,0,1,retired
382023,0,1,retired
382426,0,1,retired
387003,0,1,retired
390015,0,1,retired
391776,0,1,retired
394541,0,1,retired
394652,0,1,retired
396067,0,1,retired
400705,0,1,retired
401104,0,1,retired
401210,0,1,retired
402118,0,1,retired
402406,0,1,retired
410209,0,1,retired
411053,0,1,retired
411067,0,1,retired
411068,0,1,retired
413225,0,1,retired
413233,0,1,retired
413235,0,1,retired
413245,0,1,retired
414307,0,1,retired
415118,0,1,retired
415120,0,1,retired
415210,0,1,retired
415416,0,1,retired
415417,0,1,retired
415418,0,1,retired
415529,0,1,retired
415704,0,1,retired
416117,0,1,retired
416127,0,1,retired
416130,0,1,retired
416134,0,1,retired
416138,0,1,retired
416217,0,1,retired
416222,0,1,retired
416224,0,1,retired
416228,0,1,retired
416317,0,1,retired
416319,0,1,retired
416320,0,1,retired
416321,0,1,retired
416421,0,1,retired
416422,0,1,retired
416423,0,1,retired
416425,0,1,retired
416426,0,1,retired
416428,0,1,retired
416429,0,1,retired
416530,0,1,retired
416532,0,1,retired
416536,0,1,retired
416538,0,1,retired
416541,0,1,retired
416622,0,1,retired
421001,0,1,retired
421504,0,1,retired
421604,0,1,retired
422614,0,1,retired
424116,0,1,retired
424209,0,1,retired
425106,0,1,retired
425120,0,1,retired
425121,0,1,retired
425124,0,1,retired
425127,0,1,retired
425135,0,1,retired
425208,0,1,retired
425318,0,1,retired
425324,0,1,retired
425326,0,1,retired
425336,0,1,retired
425434,0,1,retired
425509,0,1,retired
425510,0,1,retired
425511,0,1,retired
425515,0,1,retired
425519,0,1,retired
425523,0,1,retired
431011,0,1,retired
431119,0,1,retired
431146,0,1,retired
431152,0,1,retired
440004,0,1,retired
440009,0,1,retired
440028,0,1,retired
441002,0,1,retired
441003,0,1,retired
441009,0,1,retired
441114,0,1,retired
441115,0,1,retired
441117,0,1,retired
441227,0,1,retired
441406,0,1,retired
441408,0,1,retired
441409,0,1,retired
441504,0,1,retired
441603,0,1,retired
441604,0,1,retired
441613,0,1,retired
441808,0,1,retired
441811,0,1,retired
441917,0,1,retired
441918,0,1,retired
441919,0,1,retired
441920,0,1,retired
441923,0,1,retired
442002,0,1,retired
442005,0,1,retired
442006,0,1,retired
442103,0,1,retired
442107,0,1,retired
442108,0,1,retired
442110,0,1,retired
442204,0,1,retired
442207,0,1,retired
442506,0,1,retired
442706,0,1,retired
442910,0,1,retired
442912,0,1,retired
442919,0,1,retired
443105,0,1,retired
443209,0,1,retired
443305,0,1,retired
443306,0,1,retired
443307,0,1,retired
443405,0,1,retired
