pincode,primary_district,primary_state,n_districts,n_states,n_offices
192124,Anantnag,Jammu & Kashmir,4,1,20
193501,Bandipora,Jammu & Kashmir,4,1,13
360490,Rajkot,Gujarat,4,1,22
533464,Kakinada,Andhra Pradesh,4,2,13
612201,Mayiladuthurai,Tamil Nadu,4,1,6
791001,West Siang,Arunachal Pradesh,4,1,49
791102,East Siang,Arunachal Pradesh,4,1,29
795145,Imphal East,Manipur,4,1,52
795146,Imphal West,Manipur,4,1,16
853204,Bhagalpur,Bihar,4,1,34
110003,South East,Delhi,3,1,10
110007,North,Delhi,3,1,9
110025,South East,Delhi,3,2,5
144632,Shahid Bhagat Singh Nagar,Punjab,3,1,8
184210,Kathua,Jammu & Kashmir,3,1,6
191112,Budgam,Jammu & Kashmir,3,1,7
244102,Sambhal,Uttar Pradesh,3,1,17
272148,Basti,Uttar Pradesh,3,1,12
382115,Ahmadabad,Gujarat,3,1,7
484001,Shahdol,Madhya Pradesh,3,1,32
493885,Gariyaband,Chhattisgarh,3,1,13
495446,Korba,Chhattisgarh,3,1,14
497001,Surguja,Chhattisgarh,3,1,28
505325,Jagitial,Telangana,3,2,17
505415,Karimnagar,Telangana,3,1,16
505530,Karimnagar,Telangana,3,1,14
509130,Wanaparthy,Telangana,3,1,9
509320,Nagarkurnool,Telangana,3,1,14
509339,Narayanpet,Telangana,3,1,12
509357,Mahabubnagar,Telangana,3,1,17
517214,Annamayya,Andhra Pradesh,3,1,19
521212,Eluru,Andhra Pradesh,3,1,5
532122,Srikakulam,Andhra Pradesh,3,1,17
533401,Kakinada,Andhra Pradesh,3,1,19
535183,Vizianagaram,Andhra Pradesh,3,1,20
535273,Vizianagaram,Andhra Pradesh,3,1,11
605106,Pondicherry,Tamil Nadu,3,2,10
607101,Cuddalore,Tamil Nadu,3,1,12
612203,Mayiladuthurai,Tamil Nadu,3,1,6
621308,Tiruchirappalli,Tamil Nadu,3,1,10
621653,Ariyalur,Tamil Nadu,3,1,6
628552,Tuticorin,Tamil Nadu,3,1,11
638459,Erode,Tamil Nadu,3,1,14
713129,Purba Bardhaman,West Bengal,3,1,17
754134,Kendrapara,Odisha,3,1,17
790102,East Kameng,Arunachal Pradesh,3,1,98
793106,East Khasi Hills,Meghalaya,3,1,26
793119,West Jaintia Hills,Meghalaya,3,1,75
795002,Imphal West,Manipur,3,1,11
795010,Imphal East,Manipur,3,1,16
795103,Kakching,Manipur,3,1,21
795130,Thoubal,Manipur,3,1,11
795134,Bishnupur,Manipur,3,1,21
795135,Chandel,Manipur,3,1,27
796291,Saitual,Mizoram,3,1,4
796410,Mamit,Mizoram,3,1,6
797112,Dimapur,Nagaland,3,1,13
798601,Mokokchung,Nagaland,3,1,16
804403,Gaya,Bihar,3,1,24
804451,Patna,Bihar,3,1,36
816102,Godda,Jharkhand,3,1,29
825322,Giridih,Jharkhand,3,1,19
825411,Hazaribagh,Jharkhand,3,1,11
835203,Gumla,Jharkhand,3,1,11
835213,Lohardaga,Jharkhand,3,1,15
835227,Khunti,Jharkhand,3,1,35
835234,Ranchi,Jharkhand,3,1,12
843104,Vaishali,Bihar,3,1,12
843131,Muzaffarpur,Bihar,3,1,9
847307,Darbhanga,Bihar,3,1,7
110009,North,Delhi,2,1,7
110013,South East,Delhi,2,1,2
110014,South East,Delhi,2,1,4
110019,South East,Delhi,2,1,4
110020,South East,Delhi,2,1,5
110024,South East,Delhi,2,1,4
110031,Shahdara,Delhi,2,1,6
110039,North,Delhi,2,1,11
110042,North,Delhi,2,1,7
110044,South,Delhi,2,1,9
110048,South East,Delhi,2,1,3
110049,South East,Delhi,2,1,6
110051,East,Delhi,2,1,4
110052,North,Delhi,2,1,4
110055,Central,Delhi,2,1,5
110061,South West,Delhi,2,1,2
110065,South East,Delhi,2,1,5
110077,South West,Delhi,2,1,5
110084,Central,Delhi,2,1,6
110092,East,Delhi,2,1,9
121004,Faridabad,Haryana,2,1,23
121102,Palwal,Haryana,2,1,25
122103,Gurugram,Haryana,2,1,12
122502,Rewari,Haryana,2,1,12
123304,Rewari,Haryana,2,1,9
124021,Rohtak,Haryana,2,1,9
124201,Jhajjar,Haryana,2,1,7
124202,Jhajjar,Haryana,2,1,4
124404,Rohtak,Haryana,2,1,3
124412,Rohtak,Haryana,2,1,6
124501,Rohtak,Haryana,2,1,17
125047,Hisar,Haryana,2,1,13
125050,Fatehabad,Haryana,2,1,25
125112,Hisar,Haryana,2,1,8
125113,Hisar,Haryana,2,1,14
133202,Ambala,Haryana,2,1,5
133206,Ambala,Haryana,2,1,10
134118,Panchkula,Haryana,2,1,10
134201,Ambala,Haryana,2,1,8
134204,Panchkula,Haryana,2,1,8
140402,Patiala,Punjab,2,1,13
140601,Patiala,Punjab,2,1,5
140602,Patiala,Punjab,2,1,7
143107,Amritsar,Punjab,2,1,11
143525,Gurdaspur,Punjab,2,1,4
143531,Gurdaspur,Punjab,2,1,10
143533,Gurdaspur,Punjab,2,1,4
144029,Jalandhar,Punjab,2,1,5
144411,Kapurthala,Punjab,2,1,7
144502,Jalandhar,Punjab,2,1,7
144603,Kapurthala,Punjab,2,1,11
144623,Jalandhar,Punjab,2,1,8
144625,Kapurthala,Punjab,2,1,4
147104,Patiala,Punjab,2,1,5
148018,Malerkotla,Punjab,2,1,3
148020,Malerkotla,Punjab,2,1,11
148022,Malerkotla,Punjab,2,1,8
148023,Malerkotla,Punjab,2,1,18
148024,Sangrur,Punjab,2,1,15
148025,Sangrur,Punjab,2,1,11
148106,Sangrur,Punjab,2,1,10
151202,Faridkot,Punjab,2,1,10
151207,Faridkot,Punjab,2,1,9
151208,Moga,Punjab,2,1,6
151302,Bathinda,Punjab,2,1,13
151509,Bathinda,Punjab,2,1,13
151510,Mansa,Punjab,2,1,5
152025,Sri Muktsar Sahib,Punjab,2,1,9
152028,Firozepur,Punjab,2,1,12
171226,Shimla,Himachal Pradesh,2,1,10
172001,Shimla,Himachal Pradesh,2,1,18
172101,Shimla,Himachal Pradesh,2,1,12
172111,Kinnaur,Himachal Pradesh,2,1,10
172201,Shimla,Himachal Pradesh,2,1,8
173217,Solan,Himachal Pradesh,2,1,9
173223,Sirmaur,Himachal Pradesh,2,1,9
173229,Solan,Himachal Pradesh,2,1,9
175013,Kangra,Himachal Pradesh,2,1,8
175106,Mandi,Himachal Pradesh,2,1,10
