pincode,area_sqkm,centroid_lat,centroid_lon,min_lat,min_lon,max_lat,max_lon,n_parts
321023,164.0404,27.760537,77.228744,27.700633,77.139258,27.816423,77.321098,1
322236,196.7228,26.754168,77.135283,26.634036,77.055491,26.873735,77.213096,1
321024,352.2382,27.557257,77.082258,27.470918,76.936356,27.651300,77.229834,1
322252,154.8196,26.772554,77.214336,26.706242,77.122142,26.848253,77.287594,1
321201,210.2054,27.324366,77.308670,27.263982,77.208702,27.391238,77.400825,1
321204,403.0617,27.688648,77.087242,27.572274,76.978676,27.814627,77.185870,1
321205,327.7443,27.433402,77.074030,27.345713,76.881241,27.532459,77.198681,1
628229,26.7582,8.328902,77.270631,8.293877,77.248519,8.382386,77.296749,1
321401,254.3913,26.932267,77.273583,26.781136,77.199356,27.106543,77.338585,1
321404,397.1225,26.988853,77.543393,26.887295,77.367153,27.075037,77.763229,1
321602,278.2075,27.246436,77.235514,27.161628,77.122296,27.338327,77.337553,1
321603,20.1984,27.166349,77.297307,27.149878,77.261606,27.188899,77.332599,1
321605,309.9125,27.319477,77.063888,27.241688,76.915381,27.398571,77.209709,2
322254,134.6389,26.823139,76.989282,26.772443,76.915060,26.864525,77.065399,1
321606,180.1265,27.217487,77.013324,27.152185,76.929598,27.290706,77.097519,1
322255,287.1336,26.420250,76.809061,26.328513,76.687106,26.521589,76.921429,1
321607,187.7946,27.349535,76.891507,27.270605,76.813064,27.415833,76.987812,1
321608,227.4745,27.031942,76.881545,26.968205,76.721757,27.098213,77.011002,1
365455,101.0352,21.665943,71.123180,21.603380,71.048798,21.734678,71.181967,1
321611,260.0705,26.884276,76.846112,26.803016,76.736849,26.967321,76.952613,1
322001,770.101,25.926315,76.401038,25.820856,76.218918,26.067856,76.621755,1
322023,529.174,26.320617,76.201001,26.166937,76.103676,26.485640,76.301513,1
365456,79.6464,21.577797,70.939908,21.526696,70.880154,21.615692,71.006134,1
628252,90.0536,8.718386,77.857955,8.657927,77.812607,8.798226,77.912255,1
322025,865.8581,26.016735,76.680258,25.865839,76.477626,26.178402,76.846237,1
323023,87.7355,25.568712,75.501542,25.514616,75.456149,25.643209,75.545407,1
322028,197.7447,26.287262,76.491096,26.181145,76.414147,26.371852,76.567418,1
323024,562.1483,25.492757,75.492379,25.374034,75.264778,25.710960,75.628157,1
323303,71.7122,24.865109,75.646407,24.826185,75.602609,24.905886,75.688111,1
322033,351.9053,26.158805,76.573019,26.016063,76.478898,26.276691,76.660701,1
322201,316.0899,26.477973,76.661864,26.376755,76.549853,26.595440,76.788185,1
322211,325.4528,26.580477,76.585356,26.510087,76.454056,26.670823,76.704234,1
690533,8.2366,9.144550,76.526788,9.132263,76.505938,9.159605,76.545975,1
322214,288.6119,26.432599,76.501787,26.338369,76.404309,26.535928,76.584918,1
322218,531.3921,26.223099,76.753523,26.031219,76.630345,26.373898,76.883095,1
628102,43.9924,8.743740,77.989345,8.701031,77.957465,8.785065,78.026257,1
322230,359.3358,26.729033,77.026868,26.623282,76.876075,26.840079,77.166241,1
323613,135.1217,25.760379,76.188105,25.698581,76.121081,25.841965,76.249090,1
322242,564.6314,26.623202,77.260289,26.440198,77.123795,26.805805,77.393822,1
322243,649.5035,26.275603,76.901682,26.066853,76.783840,26.481459,77.016874,1
628104,42.08,8.803430,77.955224,8.778641,77.919089,8.836205,78.013867,1
690534,13.725,9.211396,76.598612,9.191507,76.573732,9.235186,76.616770,1
322249,602.3367,26.349606,77.039402,26.142419,76.910149,26.525527,77.171083,1
331026,130.7065,28.395579,75.233766,28.328488,75.129578,28.459743,75.330900,1
322251,681.0955,26.325435,77.193884,26.170128,77.009675,26.462257,77.373283,1
323001,576.7696,25.390998,75.567706,25.271510,75.308179,25.499522,75.792553,1
331029,547.79,28.486959,75.112683,28.373667,74.956441,28.616453,75.240092,1
323022,884.835,25.161715,75.558292,24.996206,75.408287,25.364163,75.750168,1
323025,345.5761,25.607536,75.464199,25.468714,75.360527,25.747206,75.593967,1
323614,185.8314,25.741498,76.288069,25.669958,76.212862,25.817575,76.387344,1
323026,422.3536,25.589496,75.689369,25.443315,75.605820,25.721376,75.791141,1
323301,313.6486,25.402837,76.046490,25.325582,75.907516,25.484294,76.160156,1
323302,46.0201,25.098202,75.715950,25.061072,75.661108,25.129506,75.761734,1
331030,24.782,28.203749,75.062945,28.179205,75.027473,28.232518,75.099392,1
323602,281.9987,25.329507,76.006327,25.225002,75.819893,25.434292,76.059749,1
331031,196.2708,28.222376,74.830435,28.142558,74.747677,28.294906,74.903185,1
323615,69.0336,25.667529,76.175624,25.621550,76.130226,25.713755,76.224468,1
323603,543.0244,25.566064,76.188658,25.411634,76.041902,25.698268,76.325386,1
323616,356.5427,25.710096,76.064791,25.600192,75.964910,25.811302,76.162673,1
324002,194.4693,25.195227,75.945565,25.125130,75.867170,25.275499,76.035319,1
323801,432.082,25.763848,75.847707,25.666237,75.644918,25.853769,76.060181,1
324003,15.6784,25.127960,75.869139,25.096602,75.853705,25.169041,75.888183,1
323802,511.6878,25.636907,75.872736,25.538543,75.700049,25.762691,76.015702,1
324004,10.784,25.130652,75.887020,25.111580,75.866427,25.150853,75.908286,1
323803,611.5311,25.505650,75.928979,25.382660,75.759792,25.630457,76.099400,1
324001,15.5646,25.206078,75.868756,25.183556,75.845502,25.231632,75.884915,1
325001,301.2929,25.068449,75.992770,24.947633,75.875683,25.162352,76.072807,1
331033,44.1529,28.094148,74.983600,28.062457,74.938133,28.131259,75.022836,1
325003,974.7338,24.973762,75.842542,24.827198,75.623596,25.145618,76.039860,1
331301,191.8817,28.545248,75.586970,28.458071,75.516317,28.617843,75.673820,1
325204,629.1947,25.365116,76.233493,25.218877,76.102611,25.536136,76.331223,1
332030,74.9672,27.459715,74.862979,27.401272,74.798271,27.511185,74.915333,1
325205,824.8522,25.092750,76.519415,24.906780,76.380991,25.262305,76.654138,1
325216,820.3079,25.183183,76.688756,24.943819,76.574163,25.400429,76.814005,1
325217,1761.1949,25.209268,77.148095,25.029175,76.872515,25.431253,77.423798,1
325219,257.4302,24.759174,76.664039,24.690482,76.573394,24.844038,76.747035,1
332302,132.4832,28.094271,74.853294,28.037743,74.786964,28.158708,74.937453,1
325220,1039.5873,24.648978,76.895747,24.455620,76.679098,24.880633,77.069427,1
690536,6.6981,9.026494,76.549534,9.007219,76.534198,9.047645,76.563383,1
325221,906.984,24.567352,76.673415,24.414057,76.521606,24.777954,76.855667,1
630104,26.5895,10.092452,78.831713,10.044201,78.810768,10.143512,78.854331,1
325601,414.8902,24.951877,76.268341,24.807058,76.167849,25.127614,76.389951,1
630105,10.6097,10.188244,78.810235,10.163979,78.796120,10.211376,78.823517,1
325602,694.0197,24.905655,76.125866,24.725646,76.002497,25.085732,76.257919,1
